Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,78.330002,80.849998,77.900002,80.309998,77.798035,13658500
2020-04-07,81.680000,81.970001,78.400002,78.559998,76.102768,10169800
2020-04-08,79.180000,83.000000,78.339996,81.620003,79.067055,10956000
2020-04-09,81.169998,83.290001,80.180000,82.489998,79.909843,13241600
2020-04-13,81.820000,82.470001,79.830002,80.540001,78.020836,7353700
2020-04-14,82.330002,83.199997,80.730003,82.839996,80.248894,11598600
2020-04-15,81.230003,82.959999,80.559998,82.070000,79.502975,10314000
2020-04-16,82.650002,83.330002,82.260002,83.000000,80.403893,8726200
2020-04-17,83.949997,84.160004,82.440002,83.459999,80.849503,14726300
2020-04-20,82.820000,84.129997,80.760002,83.099998,80.500771,11141000
2020-04-21,81.620003,82.300003,78.209999,78.559998,76.102768,17057800
2020-04-22,79.199997,80.650002,78.830002,79.980003,77.478355,11387300
2020-04-23,80.190002,81.879997,80.169998,80.879997,78.350189,7779100
2020-04-24,81.599998,82.099998,81.019997,81.430000,78.882996,7334900
2020-04-27,81.230003,84.669998,80.830002,83.980003,81.353249,12201100
2020-04-28,81.180000,82.230003,80.169998,81.180000,78.640816,19345000
2020-04-29,82.190002,82.190002,79.029999,80.769997,78.243637,13060300
2020-04-30,79.820000,80.400002,79.139999,79.339996,76.858376,11105800
2020-05-01,78.860001,78.860001,76.930000,77.669998,75.240608,9082600
2020-05-04,78.019997,78.029999,76.220001,76.860001,74.455948,8444900
2020-05-05,77.250000,78.800003,76.769997,78.010002,75.569977,7062400
2020-05-06,78.349998,78.639999,77.080002,77.120003,74.707817,11846300
2020-05-07,77.000000,77.120003,75.430000,75.599998,73.235352,12025200
2020-05-08,76.500000,76.959999,75.970001,76.400002,74.010338,8389000
2020-05-11,76.029999,78.070000,75.919998,77.910004,75.473099,10136000
2020-05-12,78.150002,78.699997,77.120003,77.190002,74.775627,9107500
2020-05-13,76.660004,78.800003,76.580002,77.889999,75.453728,10434300
2020-05-14,77.279999,80.129997,77.260002,80.050003,77.546165,10885100
2020-05-15,80.110001,80.550003,78.830002,79.779999,77.284599,8938200
2020-05-18,81.000000,81.000000,79.230003,79.720001,77.226494,11977700
2020-05-19,79.470001,79.730003,77.349998,77.550003,75.124359,10106700
2020-05-20,78.029999,78.239998,76.680000,76.889999,74.485001,10522600
2020-05-21,76.760002,77.029999,76.269997,76.550003,74.155640,8588100
2020-05-22,76.169998,76.660004,76.070000,76.370003,73.981270,6066300
2020-05-26,78.260002,78.599998,76.910004,77.260002,74.843430,18269100
2020-05-27,77.000000,77.639999,76.000000,77.550003,75.124359,12241400
2020-05-28,78.599998,80.290001,78.510002,79.040001,76.567757,12577200
2020-05-29,79.459999,80.940002,78.309998,80.720001,78.195206,12900700
2020-06-01,80.180000,80.459999,79.129997,79.559998,77.071487,5982100
2020-06-02,79.540001,80.860001,78.830002,80.839996,78.311440,10833000
2020-06-03,81.000000,82.349998,80.860001,82.059998,79.493294,13049100
2020-06-04,81.269997,82.160004,80.839996,81.550003,78.999252,8867300
2020-06-05,82.110001,83.129997,81.489998,82.260002,79.687042,9936400
2020-06-08,81.150002,83.199997,81.150002,82.900002,80.307022,9500800
2020-06-09,83.190002,83.510002,82.120003,82.260002,79.687042,8441000
2020-06-10,82.440002,82.779999,80.989998,81.769997,79.212357,8665000
2020-06-11,80.809998,81.660004,77.349998,77.349998,74.930618,13648700
2020-06-12,77.889999,77.930000,75.470001,76.300003,74.500992,16222000
2020-06-15,74.910004,75.370003,73.570000,74.019997,72.274742,16874200
2020-06-16,75.379997,77.410004,74.830002,76.970001,75.155197,20455200
2020-06-17,77.360001,77.449997,75.629997,76.290001,74.491226,13342600
2020-06-18,75.629997,76.279999,75.360001,76.220001,74.422874,7395900
2020-06-19,77.129997,77.980003,75.809998,77.900002,76.063263,16881100
2020-06-22,77.370003,77.629997,76.430000,76.750000,74.940384,7131900
2020-06-23,77.500000,78.620003,76.889999,77.120003,75.301666,10905200
2020-06-24,76.730003,76.889999,75.449997,75.870003,74.081123,7714600
2020-06-25,75.650002,76.959999,75.309998,76.570000,74.764626,7236000
2020-06-26,76.349998,76.730003,75.000000,75.190002,73.417168,11764200
2020-06-29,75.900002,76.510002,75.519997,76.120003,74.325233,6899800
2020-06-30,76.750000,77.660004,76.199997,77.330002,75.506706,9485500
2020-07-01,77.430000,78.940002,77.120003,78.120003,76.278084,9493100
2020-07-02,78.570000,79.309998,78.220001,78.779999,76.922516,6515100
2020-07-06,79.239998,80.019997,78.900002,79.580002,77.703651,7689200
2020-07-07,79.000000,79.680000,78.589996,78.720001,76.863930,6637800
2020-07-08,78.629997,78.959999,77.480003,77.919998,76.082794,7835300
2020-07-09,77.940002,78.349998,76.040001,76.690002,74.881798,7601200
2020-07-10,76.750000,77.349998,76.400002,76.730003,74.920853,4925000
2020-07-13,77.000000,78.580002,76.730003,77.349998,75.526230,7742600
2020-07-14,77.540001,78.610001,77.360001,78.250000,76.405014,8012500
2020-07-15,79.239998,79.970001,78.839996,79.440002,77.566956,7356600
2020-07-16,79.779999,79.809998,78.750000,79.400002,77.527893,5582800
2020-07-17,79.720001,80.250000,79.309998,79.870003,77.986824,7816200
2020-07-20,79.870003,80.199997,79.070000,79.410004,77.537666,5185300
2020-07-21,79.720001,80.120003,78.790001,78.889999,77.029922,8556800
2020-07-22,79.320000,79.760002,78.019997,78.779999,76.922516,11795900
2020-07-23,79.150002,79.199997,77.510002,78.059998,76.219490,11029500
2020-07-24,77.849998,77.989998,76.360001,77.099998,75.282120,8653400
2020-07-27,76.410004,79.139999,76.309998,78.930000,77.068985,10456400
2020-07-28,79.190002,80.209999,78.970001,79.690002,77.811058,8105500
2020-07-29,79.250000,79.739998,78.739998,79.349998,77.479080,6105000
2020-07-30,78.730003,79.279999,77.629997,78.989998,77.127563,6825000
2020-07-31,80.889999,81.680000,79.150002,80.239998,78.348091,11728200
2020-08-03,82.150002,83.800003,81.860001,82.540001,80.593864,10115900
2020-08-04,82.550003,82.550003,81.070000,81.669998,79.744370,6888100
2020-08-05,82.070000,82.470001,81.150002,81.639999,79.715080,6198400
2020-08-06,81.459999,82.389999,80.580002,81.050003,79.138992,6924200
2020-08-07,80.790001,81.019997,80.029999,81.019997,79.109695,6658000
2020-08-10,81.010002,81.209999,80.300003,80.910004,79.002304,5517600
2020-08-11,81.750000,81.870003,80.629997,80.910004,79.002304,7286900
2020-08-12,81.370003,82.910004,81.339996,82.680000,80.730560,6962700
2020-08-13,82.129997,83.629997,82.010002,83.540001,81.570290,7113800
2020-08-14,83.379997,84.430000,83.169998,83.480003,81.511696,7052000
2020-08-17,84.279999,85.180000,84.010002,84.760002,82.761520,8362900
2020-08-18,84.889999,85.010002,83.769997,84.559998,82.566231,6251500
2020-08-19,84.559998,85.709999,84.559998,85.029999,83.025154,6580200
2020-08-20,84.800003,85.309998,84.389999,85.029999,83.025154,6088200
2020-08-21,85.099998,85.180000,84.120003,84.980003,82.976334,6574900
2020-08-24,85.199997,85.470001,84.480003,85.419998,83.405960,7235000
2020-08-25,85.910004,86.290001,85.199997,85.680000,83.659828,9776700
2020-08-26,85.309998,85.680000,84.660004,85.540001,83.523132,7484900
2020-08-27,85.449997,86.160004,85.080002,85.820000,83.796524,6168800
2020-08-28,85.879997,85.879997,84.910004,85.650002,83.630539,5853100
2020-08-31,85.599998,85.930000,85.139999,85.269997,83.259491,7566100
2020-09-01,85.349998,85.800003,83.919998,84.430000,82.439301,6486600
